pozisyon,sirket,sehir,aciklama,gereksinimler
Web Geliştirici,Techsoft,Kocaeli,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Web Geliştirici,BüyükVeri Ltd.,İzmir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık"
Veri Mühendisi,WebZone,İstanbul,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi"
Frontend Developer,DeepAI,Kocaeli,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Takım çalışmasına yatkınlık, Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği"
Mobil Uygulama Geliştiricisi,VeriPlus,Eskişehir,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe"
Web Geliştirici,WebZone,Gaziantep,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, Problem çözme becerisi, Analitik düşünme yeteneği"
Makine Öğrenmesi Uzmanı,DeepAI,Ankara,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak"
Veri Analisti,VeriPlus,Antalya,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği"
Java Yazılım Mühendisi,DataTech,Ankara,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Makine Öğrenmesi Uzmanı,Mobilify,Bursa,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Veri Mühendisi,Mobilify,İzmir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi"
Makine Öğrenmesi Uzmanı,WebZone,Kocaeli,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Takım çalışmasına yatkınlık"
Frontend Developer,Mobilify,İstanbul,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe"
Veri Analisti,Mobilify,Gaziantep,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Problem çözme becerisi, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık"
Mobil Uygulama Geliştiricisi,VeriPlus,Eskişehir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe"
Python Geliştiricisi,BüyükVeri Ltd.,Antalya,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık"
Web Geliştirici,VeriPlus,Eskişehir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık"
Python Geliştiricisi,Mobilify,Kocaeli,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği"
Veri Mühendisi,BüyükVeri Ltd.,İstanbul,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Takım çalışmasına yatkınlık"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Java Yazılım Mühendisi,VeriPlus,İzmir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği"
Frontend Developer,VeriPlus,Gaziantep,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Veri Mühendisi,Techsoft,Eskişehir,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği"
Python Geliştiricisi,Techsoft,İstanbul,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi"
Web Geliştirici,KodaYazılım,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi"
Veri Mühendisi,Techsoft,İstanbul,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi"
Web Geliştirici,DataTech,Antalya,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği"
Python Geliştiricisi,BüyükVeri Ltd.,Antalya,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Problem çözme becerisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak"
Python Geliştiricisi,KodaYazılım,Ankara,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Problem çözme becerisi, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Web Geliştirici,Mobilify,Bursa,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi"
Veri Analisti,BüyükVeri Ltd.,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık"
Mobil Uygulama Geliştiricisi,VeriPlus,Kocaeli,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık, Problem çözme becerisi"
Makine Öğrenmesi Uzmanı,Mobilify,Antalya,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Web Geliştirici,VeriPlus,Gaziantep,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Takım çalışmasına yatkınlık, Problem çözme becerisi, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi"
Java Yazılım Mühendisi,Mobilify,Ankara,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Takım çalışmasına yatkınlık"
Makine Öğrenmesi Uzmanı,BüyükVeri Ltd.,İstanbul,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi"
Veri Analisti,DataTech,Gaziantep,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi"
Java Yazılım Mühendisi,DataTech,Ankara,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Problem çözme becerisi, Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Web Geliştirici,Techsoft,Ankara,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Problem çözme becerisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Mobil Uygulama Geliştiricisi,KodaYazılım,Eskişehir,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe"
Veri Mühendisi,Techsoft,Antalya,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık"
Makine Öğrenmesi Uzmanı,Mobilify,Antalya,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık"
Frontend Developer,KodaYazılım,Ankara,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık"
Veri Analisti,BüyükVeri Ltd.,Gaziantep,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe"
Veri Analisti,DeepAI,Bursa,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, Problem çözme becerisi"
Web Geliştirici,Mobilify,Bursa,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi"
Python Geliştiricisi,BüyükVeri Ltd.,Eskişehir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Frontend Developer,KodaYazılım,Bursa,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi"
Makine Öğrenmesi Uzmanı,BüyükVeri Ltd.,Antalya,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe"
Frontend Developer,BüyükVeri Ltd.,Eskişehir,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi"
Java Yazılım Mühendisi,Techsoft,Eskişehir,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe"
Veri Analisti,DataTech,Kocaeli,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe"
Veri Analisti,WebZone,Bursa,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği"
Mobil Uygulama Geliştiricisi,VeriPlus,Ankara,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi"
Veri Analisti,WebZone,İstanbul,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Analitik düşünme yeteneği"
